year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2014,"Census Tract 412, Erie County, Ohio",2475,1584,3224,0,42,26,258,661,,,,39252,104,28804,39252,32.2,,0,,32.2,27.1,15.9,20.1,Census Tract 412
2014,"Census Tract 413, Erie County, Ohio",3763,2174,5138,0,3,318,0,625,,,,59840,291,45254,59840,21.7,,0,,21.7,27.4,24.3,20.2,Census Tract 413
2014,"Census Tract 414, Erie County, Ohio",2644,928,4708,0,0,0,18,651,,,,61538,290,53618,61538,14.6,,0,,14.6,21.9,26.3,31.1,Census Tract 414
2014,"Census Tract 415, Erie County, Ohio",3462,178,6590,0,207,0,66,825,,,,83974,598,60847,83974,20.8,,0,,20.8,12.6,32.8,26.7,Census Tract 415
2014,"Census Tract 416, Erie County, Ohio",5782,315,10913,0,503,136,68,888,,,,73255,731,62174,73255,22.7,,20,,22.7,13.5,33,25.6,Census Tract 416
2014,"Census Tract 417, Erie County, Ohio",6356,30,12562,10,75,184,94,741,,,,65605,422,50797,65605,22.3,,12,,22.3,22,27.1,18.6,Census Tract 417
2014,"Census Tract 418, Erie County, Ohio",6242,136,12285,0,110,270,0,904,,,,84584,375,74894,84584,13.4,,35,,13.4,19.4,34.4,25,Census Tract 418
2014,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,Census Tract 9901
2013,"Census Tract 401, Erie County, Ohio",5798,202,11524,0,0,0,30,822,,63538,,,426,51553,63538,21.9,,22,,21.9,14.5,28.7,25.8,Census Tract 401
2013,"Census Tract 402, Erie County, Ohio",3827,40,7638,0,24,132,0,892,,65207,,,272,50268,65207,17.3,,0,,17.3,18,31.8,22.4,Census Tract 402
2013,"Census Tract 403, Erie County, Ohio",6090,155,11898,26,112,190,118,839,,62828,,,563,56842,62828,13.3,,0,,13.3,15.7,28.5,26,Census Tract 403
2013,"Census Tract 404, Erie County, Ohio",5186,46,10136,0,231,36,0,672,,83392,,,892,57589,83392,18.2,,18,,18.2,16.8,36.7,20.3,Census Tract 404
