"","year","tract","Black","MedianRent","Moved in 2015 or later","Moved in 2017 or later","Built 2010 or later","SNAP benefits","Bachelor's degree","Median household income","Mean household income","NAMELSAD"
"108",2013,"Census Tract 413, Erie County, Ohio",1999,576,NA,52444,NA,NA,225,41528,52444,"Census Tract 413"
"109",2013,"Census Tract 414, Erie County, Ohio",925,677,NA,58189,NA,NA,257,48357,58189,"Census Tract 414"
"110",2013,"Census Tract 415, Erie County, Ohio",184,825,NA,82348,NA,NA,645,64231,82348,"Census Tract 415"
"111",2013,"Census Tract 416, Erie County, Ohio",481,875,NA,72848,NA,NA,610,61712,72848,"Census Tract 416"
"112",2013,"Census Tract 417, Erie County, Ohio",21,745,NA,63123,NA,NA,455,46635,63123,"Census Tract 417"
"113",2013,"Census Tract 418, Erie County, Ohio",88,888,NA,81432,NA,NA,419,69670,81432,"Census Tract 418"
"114",2013,"Census Tract 9901, Erie County, Ohio",0,0,NA,0,NA,NA,0,0,0,"Census Tract 9901"
"115",2012,"Census Tract 401, Erie County, Ohio",76,833,NA,NA,66818,NA,469,51776,66818,"Census Tract 401"
"116",2012,"Census Tract 402, Erie County, Ohio",0,863,NA,NA,62556,NA,263,50145,62556,"Census Tract 402"
"117",2012,"Census Tract 403, Erie County, Ohio",64,844,NA,NA,63739,NA,496,59818,63739,"Census Tract 403"
"118",2012,"Census Tract 404, Erie County, Ohio",52,673,NA,NA,84249,NA,1010,60496,84249,"Census Tract 404"
"119",2012,"Census Tract 405, Erie County, Ohio",339,694,NA,NA,66306,NA,783,57865,66306,"Census Tract 405"
"120",2012,"Census Tract 406, Erie County, Ohio",60,930,NA,NA,136232,NA,216,100917,136232,"Census Tract 406"
"121",2012,"Census Tract 407, Erie County, Ohio",1824,666,NA,NA,48075,NA,242,31250,48075,"Census Tract 407"
"122",2012,"Census Tract 408, Erie County, Ohio",2109,580,NA,NA,35507,NA,161,24914,35507,"Census Tract 408"
"123",2012,"Census Tract 409, Erie County, Ohio",948,603,NA,NA,42748,NA,150,38700,42748,"Census Tract 409"
"124",2012,"Census Tract 410, Erie County, Ohio",2046,545,NA,NA,38473,NA,131,37941,38473,"Census Tract 410"
"125",2012,"Census Tract 411, Erie County, Ohio",1672,671,NA,NA,48059,NA,215,34107,48059,"Census Tract 411"
"126",2012,"Census Tract 412, Erie County, Ohio",1504,597,NA,NA,41697,NA,175,29357,41697,"Census Tract 412"
"127",2012,"Census Tract 413, Erie County, Ohio",1881,563,NA,NA,50403,NA,226,39207,50403,"Census Tract 413"
"128",2012,"Census Tract 414, Erie County, Ohio",897,666,NA,NA,61212,NA,292,50724,61212,"Census Tract 414"
"129",2012,"Census Tract 415, Erie County, Ohio",256,837,NA,NA,78636,NA,628,59231,78636,"Census Tract 415"
"130",2012,"Census Tract 416, Erie County, Ohio",513,811,NA,NA,72743,NA,599,61566,72743,"Census Tract 416"
"131",2012,"Census Tract 417, Erie County, Ohio",8,724,NA,NA,62309,NA,477,42252,62309,"Census Tract 417"
"132",2012,"Census Tract 418, Erie County, Ohio",80,843,NA,NA,83307,NA,487,73000,83307,"Census Tract 418"
"133",2012,"Census Tract 9901, Erie County, Ohio",0,0,NA,NA,0,NA,0,0,0,"Census Tract 9901"
"134",2011,"Census Tract 401, Erie County, Ohio",61,793,NA,NA,68998,51989,464,NA,68998,"Census Tract 401"
"135",2011,"Census Tract 402, Erie County, Ohio",0,913,NA,NA,62999,51047,262,NA,62999,"Census Tract 402"
"136",2011,"Census Tract 403, Erie County, Ohio",118,766,NA,NA,64052,60455,513,NA,64052,"Census Tract 403"
"137",2011,"Census Tract 404, Erie County, Ohio",14,717,NA,NA,76539,61318,982,NA,76539,"Census Tract 404"
"138",2011,"Census Tract 405, Erie County, Ohio",173,693,NA,NA,62802,58039,647,NA,62802,"Census Tract 405"
"139",2011,"Census Tract 406, Erie County, Ohio",68,667,NA,NA,133419,98063,242,NA,133419,"Census Tract 406"
"140",2011,"Census Tract 407, Erie County, Ohio",1762,692,NA,NA,50462,30804,233,NA,50462,"Census Tract 407"
"141",2011,"Census Tract 408, Erie County, Ohio",2032,532,NA,NA,35733,23225,152,NA,35733,"Census Tract 408"
"142",2011,"Census Tract 409, Erie County, Ohio",1095,560,NA,NA,41592,36537,108,NA,41592,"Census Tract 409"
"143",2011,"Census Tract 410, Erie County, Ohio",1922,537,NA,NA,35834,35898,62,NA,35834,"Census Tract 410"
"144",2011,"Census Tract 411, Erie County, Ohio",1801,698,NA,NA,53168,39977,258,NA,53168,"Census Tract 411"
"145",2011,"Census Tract 412, Erie County, Ohio",1506,602,NA,NA,40940,33244,225,NA,40940,"Census Tract 412"
"146",2011,"Census Tract 413, Erie County, Ohio",1835,544,NA,NA,50973,38054,173,NA,50973,"Census Tract 413"
"147",2011,"Census Tract 414, Erie County, Ohio",1026,645,NA,NA,66699,53548,333,NA,66699,"Census Tract 414"
"148",2011,"Census Tract 415, Erie County, Ohio",131,868,NA,NA,76825,57295,592,NA,76825,"Census Tract 415"
"149",2011,"Census Tract 416, Erie County, Ohio",780,788,NA,NA,71880,60881,548,NA,71880,"Census Tract 416"
"150",2011,"Census Tract 417, Erie County, Ohio",7,732,NA,NA,61937,46445,432,NA,61937,"Census Tract 417"
"151",2011,"Census Tract 418, Erie County, Ohio",2,870,NA,NA,87860,67328,593,NA,87860,"Census Tract 418"
"152",2011,"Census Tract 9901, Erie County, Ohio",0,0,NA,NA,0,0,0,NA,0,"Census Tract 9901"
"153",2010,"Census Tract 401, Erie County, Ohio",34,820,NA,NA,NA,50048,910,NA,NA,"Census Tract 401"
"154",2010,"Census Tract 402, Erie County, Ohio",66,689,NA,NA,NA,54479,794,NA,NA,"Census Tract 402"
"155",2010,"Census Tract 403, Erie County, Ohio",88,788,NA,NA,NA,61689,829,NA,NA,"Census Tract 403"
"156",2010,"Census Tract 404, Erie County, Ohio",28,715,NA,NA,NA,64436,818,NA,NA,"Census Tract 404"
"157",2010,"Census Tract 405, Erie County, Ohio",124,619,NA,NA,NA,59365,957,NA,NA,"Census Tract 405"
"158",2010,"Census Tract 406, Erie County, Ohio",98,594,NA,NA,NA,95909,193,NA,NA,"Census Tract 406"
"159",2010,"Census Tract 407, Erie County, Ohio",1617,677,NA,NA,NA,32218,493,NA,NA,"Census Tract 407"
"160",2010,"Census Tract 408, Erie County, Ohio",1766,522,NA,NA,NA,24046,663,NA,NA,"Census Tract 408"
"161",2010,"Census Tract 409, Erie County, Ohio",1158,526,NA,NA,NA,34324,471,NA,NA,"Census Tract 409"
"162",2010,"Census Tract 410, Erie County, Ohio",2274,664,NA,NA,NA,36774,495,NA,NA,"Census Tract 410"
"163",2010,"Census Tract 411, Erie County, Ohio",2163,706,NA,NA,NA,42092,675,NA,NA,"Census Tract 411"
"164",2010,"Census Tract 412, Erie County, Ohio",1376,563,NA,NA,NA,30591,255,NA,NA,"Census Tract 412"
"165",2010,"Census Tract 413, Erie County, Ohio",1669,567,NA,NA,NA,37756,690,NA,NA,"Census Tract 413"
"166",2010,"Census Tract 414, Erie County, Ohio",955,653,NA,NA,NA,44906,408,NA,NA,"Census Tract 414"
"167",2010,"Census Tract 415, Erie County, Ohio",187,851,NA,NA,NA,55505,456,NA,NA,"Census Tract 415"
"168",2010,"Census Tract 416, Erie County, Ohio",626,692,NA,NA,NA,59817,794,NA,NA,"Census Tract 416"
"169",2010,"Census Tract 417, Erie County, Ohio",2,744,NA,NA,NA,45194,1085,NA,NA,"Census Tract 417"
"170",2010,"Census Tract 418, Erie County, Ohio",18,659,NA,NA,NA,71375,896,NA,NA,"Census Tract 418"
"171",2010,"Census Tract 9901, Erie County, Ohio",0,0,NA,NA,NA,0,119,NA,NA,"Census Tract 9901"
